experiment,date,subject,max_distance,dog_age,dog_age_acquisition,dog_breed,dog_sex,dog_neutered,dog_acquisition,dog_weight,akccgc,rate_dog_trained,cbarq_training_score,dog_behavior_bennett_disobedient_score,dog_behavior_bennett_aggressive_score,dog_behavior_bennett_nervous_score,dog_behavior_bennett_destructive_score,dog_behavior_bennett_excitable_score,dog_obedience_hiby_score,dog_problematic_behaviors_hiby_score,dias_behavioral_regulation_score,dias_aggression_score,dias_responsiveness_score,dias_overall_score,mdors_score,separation_anxiety_yesno,personality_extraversion_score,personality_agreeableness_score,personality_conscientiousness_score,personality_stability_score,personality_openness_score,crt_score,numeracy_score,owner_gender,owner_marital_status,other_dogs,household_income
1,2019-11-10,1_46,1.25,8,0.5,Pembroke Welsh Corgi,Male,Yes,Purchased from breeder,15.4221416,Yes,8,NA,2,1,3.25,1.5,4,4.12,2,0.4,0.48,0.68,0.5,4.89,Yes,4.5,4.5,5.5,4,6,0,NA,Male,Single,No,"$50,000-$74,999"
1,2019-11-13,1_47,4.25,8,2,All American Dog,Female,Yes,Other,17.2365112,Yes,8,NA,1.5,2,2.75,1.5,2.67,4.75,1.6153846153846154,0.36,0.47,0.6,0.46,5.33,No,2.5,5,4.5,3.5,4.5,1,1,Female,Married,Yes,"$25,000-$49,999"
1,2019-11-24,1_48,0.5,5,0.5,Cavalier King Charles Spaniel,Male,Yes,Purchased from breeder,5.8967012,Yes,8,NA,2,1.5,2.5,2.25,4.33,3.62,1.3846153846153846,0.58,0.36,0.56,0.52,6,No,3.5,4.5,4,3,4,NA,NA,Female,Married,Yes,"$25,000-$49,999"
1,2019-12-02,1_49,2.25,16,3,Beagle,Female,Yes,Adopted,11.33981,No,NA,NA,3.17,1.33,2.5,2.5,3.33,3.5,1.7692307692307692,0.48,0.36,0.52,0.49,5.33,No,3,5,6,6,5.5,2,1,Male,Single,Yes,I would rather not say
1,2019-12-11,1_50,0.5,4,0.5,Mini Goldendoodle,Male,Yes,Purchased from breeder,15.875734,No,7,NA,1.67,1,2.25,2.75,3.67,4.12,1.8333333333333333,0.26,0.24,0.6,0.34,5.67,No,3.5,5,3.5,5,5.5,0,NA,Male,Married,Yes,"More than $100,000"
1,2019-12-11,1_51,0.5,1,0.5,Mini Goldendoodle,Female,Yes,Purchased from breeder,12.2469948,No,5,NA,2.67,1.17,3,3.75,4.67,3.75,1.7692307692307692,0.54,0.4,0.56,0.53,5.56,No,3.5,4.5,4,5.5,6,0,NA,Male,Married,Yes,"More than $100,000"
1,2019-12-14,1_52,2,0.5,0.5,Miniature Golden Doodle,Male,Yes,Purchased from breeder,NA,NA,6,NA,3.5,1.17,4,4,4.67,3.38,2.1538461538461537,0.6,0.52,0.52,0.56,5.44,No,4,4.5,5,4,6,3,2,Male,Married,No,"More than $100,000"
1,2019-12-16,1_53,1,2,0.5,Mixed (Plott Hound),Male,Yes,Adopted,NA,NA,9,NA,1.33,2.17,3.75,1.5,3,4.75,1.5384615384615385,0.28,0.4,0.48,0.38,6.44,No,4.5,5,4,6,6,2,3,Male,Single,Yes,"$75,000-$99,999"
1,2019-12-16,1_54,1.25,4,0.5,Mixed - Lab,Male,Yes,Adopted,NA,NA,NA,NA,1.83,1.5,4.75,3.25,3,4.25,1.4615384615384615,0.28,0.32,0.52,0.37,6.44,No,4.5,5.5,4,5.5,6,2,3,Male,Single,Yes,"$75,000-$99,999"
1,2020-01-31,1_55,0.75,8,0.5,Otterhound,Male,Yes,Purchased from breeder,48.5343868,Yes,8,NA,2,1.5,2.25,1.75,2.33,4.38,1.3076923076923077,0.64,0.6,0.56,0.61,5.44,No,2.5,5.5,5.5,6,4,0,0,Female,Separated/ divorced,No,"$25,000-$49,999"
