experiment,date,subject,max_distance,dog_age,dog_age_acquisition,dog_breed,dog_sex,dog_neutered,dog_acquisition,dog_weight,akccgc,rate_dog_trained,cbarq_training_score,dog_behavior_bennett_disobedient_score,dog_behavior_bennett_aggressive_score,dog_behavior_bennett_nervous_score,dog_behavior_bennett_destructive_score,dog_behavior_bennett_excitable_score,dog_obedience_hiby_score,dog_problematic_behaviors_hiby_score,dias_behavioral_regulation_score,dias_aggression_score,dias_responsiveness_score,dias_overall_score,mdors_score,separation_anxiety_yesno,personality_extraversion_score,personality_agreeableness_score,personality_conscientiousness_score,personality_stability_score,personality_openness_score,crt_score,numeracy_score,owner_gender,owner_marital_status,other_dogs,household_income
2,2020-11-06,2_23,1,8,0.5,Yellow Labrador/Poodle Mix,Female,Yes,Purchased from breeder,29.483506000000002,Yes,8,4.25,NA,NA,NA,NA,NA,4.75,NA,0.32,0.36,0.6,0.41,NA,No,5,5,5,5.5,6,NA,NA,Female,Married,Yes,"More than $100,000"
2,2020-11-12,2_24,2,11,0.5,Daschund,Male,Yes,Other,7.2574784,No,7,3.88,NA,NA,NA,NA,NA,4.12,NA,0.42,0.56,0.68,0.53,NA,No,3.5,4.5,5,5,4,NA,NA,Female,Married,No,I would rather not say
2,2021-03-18,2_25,2.5,2,1,Lab Mix,Female,Yes,Adopted,24.947582,No,7,3.5,NA,NA,NA,NA,NA,3.75,NA,0.38,0.32,0.64,0.42,NA,No,3,4.5,4.5,5,3,NA,NA,Female,Married,No,"More than $100,000"
2,2021-03-19,2_26,2,2,0.5,Mixed,Female,Yes,Adopted,24.0403972,No,8,3.62,NA,NA,NA,NA,NA,4,NA,0.52,0.4,0.68,0.54,NA,No,5.5,5.5,6,6,5,NA,NA,Female,Married,Yes,"More than $100,000"
2,2021-03-24,2_27,2.5,3,0.5,Border Terrier Mix,Female,Yes,Adopted,8.1646632,No,7,3.88,NA,NA,NA,NA,NA,3.88,NA,0.56,0.44,0.64,0.56,NA,Yes,3,5.5,5.5,5,5.5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-03-24,2_28,1,3,0.5,Border Terrier Mix,Female,Yes,Adopted,9.9790328,No,7,3.5,NA,NA,NA,NA,NA,4,NA,0.47,0.36,0.56,0.48,NA,Yes,2.5,5,5,4.5,5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-04-11,2_29,1.5,0.5,0.5,Australian Shepard,Male,Yes,Purchased from breeder,9.071848,NA,7,4,NA,NA,NA,NA,NA,3.88,NA,0.62,0.4,0.44,0.56,NA,No,4,4,5,4.5,4,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-04-27,2_30,2.5,4,0.5,Golden Retriever,Male,Yes,Purchased from breeder,79.37867,No,7,3.5,NA,NA,NA,NA,NA,4,NA,0.26,0.36,0.56,0.36,NA,No,4,3,6,5.5,3,NA,NA,Female,Married,Yes,"More than $100,000"
2,2021-05-17,2_31,2,0.5,0.5,Cavalier King Charles Spaniel,Female,Yes,Purchased from breeder,5.8967012,No,7,4,NA,NA,NA,NA,NA,3.75,NA,0.36,0.44,0.64,0.44,NA,Yes,4.5,5.5,6,5.5,5.5,NA,NA,Female,Single,No,"Less than $25,000"
2,2021-05-28,2_32,1.5,0.5,0.5,Chinese Crested,Male,Yes,Other,4.535924,No,5,3.38,NA,NA,NA,NA,NA,3,NA,0.72,0.44,0.64,0.63,NA,No,3,5.5,5,5.5,4,NA,NA,Female,Single,Yes,"$25,000-$49,999"
2,2021-06-16,2_33,1,4,1,Staffordshire Terrier And Golden Retriever,Female,Yes,Adopted,24.947582,No,7,4,NA,NA,NA,NA,NA,4.25,NA,0.5,0.44,0.6,0.53,NA,No,4.5,6,5,5,5,NA,NA,Female,Single,Yes,"Less than $25,000"
2,2021-06-18,2_34,3,5,0.5,Maltese,Female,Yes,Purchased from breeder,4.535924,No,5,3,NA,NA,NA,NA,NA,3.38,NA,0.54,0.44,0.52,0.5,NA,Yes,5,4,5,4,4,NA,NA,Female,Married,Yes,"$50,000-$74,999"
2,2021-06-18,2_35,1.5,2,0.5,Golden Retriever,Male,Yes,Purchased from breeder,31.751468,No,6,3.62,NA,NA,NA,NA,NA,4,NA,0.32,0.32,0.6,0.39,NA,No,4,5.5,5,5,5,NA,NA,Female,Married,Yes,"$75,000-$99,999"
2,2021-07-15,2_36,1.5,4,0.5,Pharaoh Hound,Female,Yes,Purchased from breeder,22.67962,No,4,3.25,NA,NA,NA,NA,NA,3.88,NA,0.48,0.4,0.56,0.48,NA,No,6,4.5,5.5,4.5,5.5,NA,NA,Female,Married,No,"More than $100,000"
2,2021-08-02,2_37,1,5,3,Bernese Mountain Dog,Male,Yes,Adopted,40.823316,No,6,2.88,NA,NA,NA,NA,NA,4.25,NA,0.32,0.4,0.64,0.4,NA,No,3.5,5.5,5.5,6,4,NA,NA,Female,Married,Yes,I would rather not say
2,2021-08-05,2_38,2.5,4,0.5,Terrier Mix,Male,Yes,Adopted,17.2365112,No,4,3.75,NA,NA,NA,NA,NA,4.12,NA,0.42,0.44,0.52,0.44,NA,No,5,5.5,5,5,4.5,NA,NA,Female,Single,Yes,"$25,000-$49,999"
2,2021-08-20,2_39,4.5,7,3,Italian Greyhound,Male,Yes,Adopted,9.9790328,No,6,3.38,NA,NA,NA,NA,NA,3.75,NA,0.46,0.36,0.64,0.48,NA,No,4.5,5.5,5.5,4,4.5,NA,NA,Female,Married,No,"More than $100,000"
2,2021-08-20,2_40,2,2,0.5,Goldendoodle,Female,Yes,Purchased from breeder,27.215544,No,8,4.38,NA,NA,NA,NA,NA,4.62,NA,0.24,0.36,0.52,0.36,NA,No,3,6,6,6,5,NA,NA,Female,Married,No,"More than $100,000"
2,2021-10-08,2_41,2.5,3,0.5,Big Mixed Breed,Male,Yes,Adopted,31.2978756,No,5,3.5,NA,NA,NA,NA,NA,3.5,NA,0.42,0.44,0.52,0.44,NA,No,5,5,5.5,5.5,5,NA,NA,Female,Married,No,"$50,000-$74,999"
2,2021-10-08,2_42,3.5,4,0.5,German Wire Haired Pointer,Male,Yes,Purchased from breeder,31.751468,No,7,4.38,NA,NA,NA,NA,NA,4.25,NA,0.38,0.32,0.68,0.46,NA,Yes,6,5,5,6,5.5,NA,NA,Male,Separated/ divorced,No,"$50,000-$74,999"
2,2021-10-08,2_43,1.5,1,0.5,Field Golden Retriever,Male,Yes,Purchased from breeder,25.401174400000002,No,7,4.25,NA,NA,NA,NA,NA,3.88,NA,0.38,0.44,0.48,0.43,NA,Yes,4.5,4.5,5.5,5,4.5,NA,NA,Female,Single,Yes,"More than $100,000"
